Gene,Xobs
aaeB,1.32
aaeR,15.33
aas,14.56
aat,11.47
accA,779.24
accB,2658.25
accC,1069.72
accD,674.52
aceA,114.56
aceB,45.26
aceE,5128.58
aceF,4628.34
aceK,0.64
ackA,2736.76
acnA,18.72
acnB,599.43
acpH,14.56
acpP,27508.75
acpS,28.56
acpT,36.72
acrA,296.18
acrB,159.39
acrD,4.13
acrF,0.4
acrR,18.36
acs,10.98
actP,1.1
ada,1.6
add,55.68
ade,57.12
adhE,267.9
adk,1584.55
agaR,48.4
ahpC,7110.92
ahpF,439.31
alaA,173.68
alaC,92.64
alaS,651.3
aldA,42.28
allR,135.52
alr,44.59
alx,26.4
amiA,51.84
amiB,26.22
amiC,31.28
amiD,10.66
amn,40.02
ampC,45.31
ampD,20.71
ampE,9.66
ampG,19.92
ampH,35.67
anmK,16.32
ansA,130.13
ansP,22.14
apaG,8.4
apaH,34.65
apbE,14.75
aphA,21.24
appY,6.76
apt,1188.18
araC,8.32
araE,1.95
araJ,3.08
arcA,614.64
arcB,17.69
argB,9.84
argC,4.5
argD,49.72
argE,28.6
argF,16.2
argG,99.12
argH,26.2
argO,32.48
argP,61.38
argR,276.93
argS,376.35
argT,32.48
arnA,5.76
arnB,8.2
aroA,95.48
aroB,57.59
aroC,96
aroD,44.03
aroE,87.42
aroF,27.52
aroG,382.5
aroH,103.66
aroK,974.64
aroL,30.15
aroM,23.76
aroP,64.24
arsB,3.5
artI,256
artJ,41.16
artM,37.24
artP,107
artQ,39.56
ascG,16.74
asd,544.41
asmA,10.75
asnA,395.28
asnB,140.49
asnC,52.29
asnS,1342.66
aspA,86.14
aspC,344.72
aspS,640.5
atpA,2369.88
atpB,813.6
atpC,986.85
atpD,2351.16
atpE,8680.54
atpF,1367.96
atpG,765.6
atpH,705.12
atpI,15.28
avtA,147.42
azoR,115.56
azuC,602
bacA,133.28
baeR,43.4
bamA,298.62
bamB,236.36
bamC,205.2
bamD,509.2
bamE,438.75
barA,10.78
basR,50.76
basS,18.6
bax,55.37
bcp,761.67
bcr,18.3
bcsA,0.7
bcsB,6.64
bcsC,3
bcsE,25.44
bcsG,22.4
bcsZ,3.12
betA,10.35
betB,25.65
betI,4.4
betT,6.27
bfr,14.8
bglA,226.24
bglX,58.8
bhsA,175.6
bioA,151.58
bioB,382.14
bioC,42.84
bioD,180.94
bioF,62.4
bioH,51.48
birA,39.6
bisC,18.9
blr,63.91
bolA,149.46
borD,1611.96
brnQ,272.8
bssS,11.44
btuB,176.4
btuC,6.25
btuD,8.37
btuE,29.4
btuF,11.16
btuR,19.5
caiA,3.8
can,625.3
carA,34.98
carB,41.44
cbpA,38.94
cbpM,36.83
cca,19.74
ccmC,13.23
ccmE,12.4
ccmF,3.68
ccmH,6.45
cdd,23.52
cdh,40.4
cdsA,57.51
cfa,80.4
chaA,32.85
chiA,7.4
chpB,8.7
cirA,6.24
clcA,10.53
cld,477.92
clpA,75.6
clpB,255.3
clpP,485.1
clpS,40
clpX,450.26
cls,25.76
cmk,155.4
cmoA,120.64
cmoB,85.85
cnu,78
coaA,77.88
coaD,93.28
coaE,21.6
cobB,64.19
cobC,3.52
cobS,29.7
cobT,14.3
