Gene,Xobs
YAL010C,0.035496
YAL011W,0.067546
YAL015C,0.106084
YAL025C,0.363978
YAL030W,0.9914
YAL034C,0.006294
YAL034WA,0.028809
YAL037W,0.033056
YAL038W,60.060767
YAL047C,0.025651
YAL048C,0.010889
YAL064W,0.02189
YAR009C,0.83242
YAR018C,0.110599
YAR028W,0.08615
YAR031W,0.008973
YAR033W,0.076719
YBL003C,3.121582
YBL007C,0.512953
YBL020W,0.141845
YBL022C,0.505228
YBL027W,12.615662
YBL034C,0.082462
YBL050W,0.54891
YBL061C,0.249174
YBL067C,0.032935
YBL072C,45.622709
YBL086C,0.074625
YBL087C,29.620318
YBR004C,0.189593
YBR008C,0.041084
YBR014C,0.705091
YBR017C,0.143798
YBR019C,0.011708
YBR022W,0.16516
YBR028C,0.034041
YBR042C,0.146455
YBR044C,0.026571
YBR070C,0.188807
YBR071W,0.120549
YBR074W,0.017228
YBR078W,2.237113
YBR081C,0.027259
YBR086C,0.888677
YBR088C,1.489403
YBR097W,0.023935
YBR101C,0.665852
YBR109C,2.444932
YBR114W,0.012346
YBR125C,0.171098
YBR129C,0.106868
YBR130C,0.103069
YBR131W,0.025861
YBR140C,0.023866
YBR143C,1.688641
YBR146W,0.263678
YBR148W,0.017324
YBR149W,0.76043
YBR150C,0.006974
YBR154C,1.144752
YBR182C,0.016151
YBR188C,0.146563
YBR198C,0.334408
YBR199W,0.700543
YBR203W,0.016412
YBR208C,0.08128
YBR212W,0.164536
YBR215W,0.046993
YBR233W,0.039641
YBR236C,0.217388
YBR244W,0.502822
YBR256C,0.484388
YBR267W,0.3601
YBR270C,0.013987
YBR272C,0.078071
YBR275C,0.025462
YBR280C,0.05356
YBR296C,0.067259
YCL002C,0.042464
YCL028W,0.614077
YCL055W,0.03949
YCL057W,0.22375
YCL061C,0.015808
YCL069W,0.013604
YCR004C,1.099853
YCR012W,54.492843
YCR014C,0.032189
YCR015C,0.043016
YCR016W,0.241492
YCR023C,0.109116
YCR026C,0.111257
YCR027C,0.024865
YCR035C,0.525439
YCR039C,0.457929
YCR043C,0.149498
YCR044C,0.328579
YCR047C,0.771993
YCR059C,0.310651
YCR060W,0.378536
YCR068W,0.008522
YCR073WA,0.898081
YCR075C,0.094442
YCR076C,0.247911
YCR090C,0.363796
YCR093W,0.032865
YCR105W,0.032008
YDL008W,0.404789
YDL012C,1.328023
YDL036C,0.092516
YDL043C,0.086215
YDL046W,0.611063
YDL054C,0.145021
YDL056W,0.036952
YDL057W,0.087504
YDL060W,0.670094
YDL063C,0.105767
YDL072C,1.88832
YDL077C,0.049265
YDL083C,8.731049
YDL119C,0.017176
YDL123W,0.088417
YDL129W,0.028726
YDL142C,0.072965
YDL154W,0.015435
YDL155W,0.09603
YDL156W,0.018412
YDL161W,0.258223
YDL178W,0.213833
YDL182W,2.816737
YDL189W,0.13361
YDL192W,12.608456
YDL204W,0.010784
YDL212W,1.777376
YDL218W,0.007932
YDL220C,0.023507
YDL222C,0.018939
YDL223C,0.023084
YDL235C,0.334514
YDL236W,0.669112
YDL243C,0.02945
YDR011W,0.399531
YDR012W,23.007415
YDR013W,0.044927
YDR018C,0.008932
YDR020C,0.026915
YDR026C,0.016333
YDR031W,0.181109
YDR040C,0.009765
YDR044W,0.318412
YDR047W,0.431138
YDR064W,4.722341
YDR066C,0.071469
YDR072C,0.604528
YDR074W,0.223411
YDR081C,0.014651
YDR083W,0.437441
YDR084C,0.406912
YDR089W,0.050041
YDR092W,1.335837
YDR103W,0.035334
YDR107C,0.077223
YDR111C,0.038379
YDR123C,0.035768
