Gene,Xobs
YNL224C,0.031519
YDL147W,0.866630
YJR105W,4.591194
YGL080W,0.582637
YNL041C,0.045608
YDR542W,0.512467
YHR087W,0.230271
YDR538W,0.217612
YML049C,0.019986
YKL117W,3.266038
YOR355W,0.190849
YMR160W,0.022532
YKR067W,0.134606
YGR249W,0.008186
YGL018C,0.044782
YBR173C,0.551835
YGL104C,0.079406
YJL136C,20.509349
YJL129C,0.107771
YLR362W,0.071926
YBR217W,0.034387
YNR021W,1.576981
YNR011C,0.048109
YGL226CA,0.986040
YKL067W,0.695329
YDL213C,0.757428
YOL157C,0.009933
YNR069C,0.002664
YJL176C,0.035975
YER090W,0.540061
YDR282C,0.069048
YOR054C,0.027563
YBL099W,0.945830
YBR281C,0.096046
YAL064CA,0.019859
YBR094W,0.075362
YPL032C,0.286598
YDR302W,0.386144
YBR012WA,0.312506
YML059C,0.053421
YGR143W,0.090383
YNL204C,0.019213
YPR089W,0.051612
YNL090W,0.160066
YMR262W,0.057677
YMR270C,0.095748
YLR225C,0.253225
YBR120C,0.143025
YDR376W,0.032806
YHR210C,0.017008
YCR040W,0.078195
YKL132C,0.025620
YDL180W,0.063272
YCR092C,0.019191
YOR107W,0.010360
YKR096W,0.074197
YLR180W,2.753511
YER145C,1.908756
YKR013W,2.715594
YEL037C,0.775857
YKR099W,0.054584
YKL013C,0.303710
YDR272W,0.580315
YGL172W,0.565364
YGL138C,0.014627
YCR089W,0.020208
YJR106W,0.006399
YMR012W,0.656234
YLR083C,0.916492
YBR128C,0.016813
YEL017W,0.136381
YBR213W,0.053676
YHR067W,0.030843
YOL051W,0.102134
YAR003W,0.071609
YDL040C,0.437599
YDR436W,0.011122
YDR181C,0.065097
YLL012W,0.271114
YPL108W,0.073098
YML016C,0.047057
YAL067C,0.014364
YLR417W,0.044088
YBR165W,0.095896
YMR203W,1.064191
YOR304CA,0.248262
YPR024W,0.118090
YKL008C,0.593444
YGR010W,0.067152
YFR014C,0.046626
YJL092W,0.023151
YBL112C,1.296967
YGL090W,0.013548
YKL196C,1.217773
YMR183C,0.334867
YGL196W,0.246261
YOR374W,0.713662
YBL089W,0.068893
YMR096W,0.076075
YPR162C,0.133515
YBR060C,0.050653
YDL157C,0.806052
YOR280C,0.209790
YGR216C,0.054161
YER153C,0.026765
YFL028C,0.526635
YLR213C,0.037807
YJR035W,0.007048
YJL166W,1.655624
YBR052C,0.848756
YHR058C,0.170070
YDR495C,0.012631
YGL181W,0.456199
YBR095C,0.182234
YHR029C,0.285133
YDR051C,0.335411
YBR147W,0.017042
YOR320C,0.158360
YNL265C,0.089244
YOR130C,0.208054
YDR176W,0.072193
YOL101C,0.085321
YMR044W,0.209551
YBR133C,0.088671
YBL056W,0.300829
YFL040W,0.006916
YOR005C,0.007499
YKL180W,24.778581
YCL049C,0.119354
YOR253W,0.636843
YAL026C,0.012464
YOR274W,0.131542
YJL124C,0.276106
YDL153C,0.961365
YHR015W,0.014000
YLR050C,0.531617
YBR112C,0.188081
YOR111W,0.066697
YHR219W,0.143614
YMR037C,0.061858
YJR154W,0.005864
YDL135C,0.535992
YDR243C,0.058213
YGR027C,3.138689
YMR008C,0.865857
YDR350C,0.020979
YKL038W,0.014995
YOL126C,0.116291
YDR379W,0.021065
YBL054W,0.198486
YJL052W,2.585627
YJR060W,0.295430
YPR183W,1.042714
YIL047C,0.113307
YGR161C,0.200898
YPR078C,0.018092
YBR021W,0.047910
YHR002W,0.018837
YGL087C,0.725712
YKR036C,0.064853
YDL193W,0.211812
YOL116W,0.026022
YJL024C,0.047556
YPL029W,0.025312
YNL269W,0.008079
YOR315W,0.068975
YLR378C,1.645799
YDR242W,0.013987
YCR063W,0.003755
YCR057C,0.122044
YNL256W,0.107429
YDR362C,0.056595
YDR056C,0.469694
YOL078W,0.015416
YBL097W,0.006890
YDR106W,0.035835
YNR024W,0.307627
YPL097W,0.155910
YOL114C,0.033141
YGR140W,0.029477
YGL061C,0.061932
YDR296W,0.410100
YOR332W,2.816276
YKL022C,0.060744
YNL147W,0.430983
YJR144W,0.441514
YLR283W,0.139206
YJL168C,0.029838
YKL187C,0.003657
YBL074C,0.019287
YGR287C,0.005261
YPL092W,0.155677
YJR058C,0.492817
YBR121C,2.438825
YDR483W,1.969447
YJL177W,19.240878
YER041W,0.019133
YOR095C,0.593725
YAL001C,0.036653
YGR060W,8.532634
YMR298W,1.294666
YER038C,0.010559
YLR258W,0.170700
YNL049C,0.079909
YDR236C,0.107962
YHR203C,26.606539
YMR027W,0.318942
YIL071C,0.007355
YKL012W,0.132497
YNL102W,0.074989
YHR179W,5.743388
YOR275C,0.031914
YJL023C,0.026514
YKL164C,5.446170
YFL048C,0.417479
YGR105W,0.828287
YDL190C,0.317648
YIL107C,0.061600
YNL283C,0.149936
YGL202W,2.579348
YBR054W,0.419627
YBR264C,0.384963
YKR052C,0.123016
YJL181W,0.036234
YLR456W,0.036907
YDR247W,0.017350
YOR329C,0.069942
YPR152C,0.021486
YPR045C,0.019205
YLR027C,2.094802
YGL180W,0.005206
YJL057C,0.045455
YNL293W,0.026075
YOR182C,27.357196
YMR137C,0.013422
YKR097W,0.010866
YBL091C,1.610447
YHR046C,0.106678
YGR197C,0.043333
YPR184W,0.005903
YJL139C,0.056370
YPL255W,0.020588
YDL001W,0.098543
YDL003W,0.177566
YGR042W,0.081470
YMR236W,0.825014
YER062C,0.933570
YNL241C,0.660673
YOR231W,0.061176
YJL103C,0.004686
YBR001C,0.074529
YOR044W,0.154538
YFL047W,0.138437
YPR154W,0.167969
YFR050C,1.284533
YLR233C,0.014783
YNL208W,3.443426
YBR058C,0.163341
YJL083W,0.017145
YDL091C,0.035382
YBR084CA,6.088794
YOL026C,0.273189
YDR515W,0.018802
YDL103C,0.450316
YOR190W,0.007931
YIL092W,0.017353
YCL032W,0.084885
YBR062C,1.228610
YFR051C,0.894217
YCR071C,0.231229
YLR406C,5.864124
YOR293W,16.012269
YNL322C,2.944159
YBR227C,0.115496
YJR094WA,15.761831
YIL110W,0.169569
YDR438W,0.003078
YKL179C,0.107257
YAR035W,0.042205
YML043C,0.015655
YLR447C,1.368400
YLR309C,0.218185
YOL064C,0.546803
YMR172W,0.008070
YKL088W,0.153851
YML039W,0.369473
YNL240C,0.360853
YHR215W,1.350981
YOL145C,0.058331
YLR303W,0.589503
YNL151C,0.374932
YJL128C,0.166812
YDR464W,0.181572
YPR065W,0.203395
YNL045W,0.301696
YDR330W,0.028500
YNR012W,0.186865
YDL194W,0.027796
YIL036W,0.075086
YPR116W,0.014262
YHR147C,0.373900
YNL305C,0.645830
YMR145C,1.283952
YKL051W,0.037674
YIL064W,0.308119
YER099C,0.426586
YLR435W,0.416087
YPL274W,0.426488
YNL306W,0.521328
YKR029C,0.043112
YLR015W,0.072982
YOR001W,0.438710
YBR238C,0.060077
YJR022W,0.238209
YDR516C,0.375037
YDL006W,0.074037
YDR381W,0.884181
YBR020W,0.005547
YBR243C,0.328042
YMR098C,0.048109
YNR044W,0.756601
YKL096W,2.923863
YER176W,0.085896
YLR242C,0.032703
YNL053W,0.038871
YGR066C,0.022847
YPL265W,0.346453
YER116C,0.011912
YMR085W,0.018402
YJL198W,0.528080
YGR006W,0.024073
YKR048C,1.992809
YNL118C,0.136224
YDR462W,0.290866
YJR015W,0.982433
YBL005W,0.084257
YPR148C,0.931646
YMR114C,0.054019
YNL039W,0.085825
YMR161W,0.112893
YDR075W,0.048038
YLR094C,0.039663
YNL223W,0.034497
YAL012W,5.205346
YLR197W,1.450970
YGR284C,0.851703
YJR012C,0.123257
YDR234W,0.784223
YJR010CA,0.102588
YBR153W,0.213726
YFL022C,1.623274
YMR158W,0.238791
YMR309C,0.472088
YKR060W,0.301394
YJL145W,0.522696
YAL036C,1.440285
YBR024W,0.085344
YOL041C,0.058954
YNL315C,0.314469
YHR198C,0.037793
YJR019C,0.052606
YGR270W,0.165382
YLR072W,0.105807
YIL057C,0.034282
YDR421W,0.011287
YPR054W,0.000265
YML082W,0.066166
YOR141C,0.153392
YIL089W,0.022026
YFR007W,0.082512
YKR102W,0.014340
YDR240C,0.018821
YDL137W,2.529652
YIL052C,12.205385
YIL030C,0.303487
YLR206W,0.266119
YBR038W,0.092890
YOL071W,0.166322
YKL175W,0.843307
YLR246W,0.027680
YDL240W,0.005641
YGL050W,0.143472
YER185W,0.024023
YKR085C,0.278207
YJL121C,0.966778
YBR248C,0.570563
YJR082C,0.136748
YDR179C,0.041401
YNL294C,0.035363
YDR158W,1.850313
YKL224C,0.248772
YOR385W,0.090856
YIL056W,0.019652
YMR077C,0.065966
YOR011W,0.034594
YDL144C,0.343113
YMR279C,0.007247
YJL197W,0.063483
YDR218C,0.012336
YMR272C,0.937486
YOL117W,0.007869
YDL183C,0.021313
YJL157C,0.579864
YER074W,4.467532
YNL217W,0.239069
YOL139C,4.195891
YML040W,0.523218
YDR192C,0.120493
YLL022C,0.438325
YKL062W,0.120839
YNL134C,2.650568
YOR265W,0.621505
YPL231W,0.948240
YER120W,1.922592
YDR132C,0.022970
YLR394W,0.011982
YOL059W,0.450824
YCR084C,0.318783
YLR008C,0.267131
YPR133C,0.503176
YJR116W,0.193285
YJR068W,0.269368
YBL019W,0.025661
YOR341W,0.289810
YKL125W,0.231162
YJL137C,0.031540
YBR192W,0.087251
YML086C,1.186687
YMR205C,2.351630
YIL096C,0.144748
YIL145C,0.327270
YDR166C,0.022796
YGR292W,0.018303
YCL040W,1.939645
YER055C,2.610791
YNL036W,0.347559
YIL161W,0.121026
YJR112W,0.176098
YEL063C,0.065694
YLR150W,8.503286
YJR016C,1.119064
YCR051W,1.063696
YJL206C,0.030109
YER070W,0.333237
YBL017C,0.048578
YDL027C,0.010730
YOR181W,0.092408
YLR058C,4.158187
YAL043C,0.093893
YDL019C,0.136882
YIR041W,0.090906
YGR059W,0.007941
YLL041C,0.188540
YHR026W,2.887232
YBR249C,2.690506
YLR187W,0.014270
YMR313C,0.057522
YGL212W,0.019594
YOR049C,0.009065
YAR023C,0.021935
YEL024W,0.356780
YLR190W,0.043031
YMR243C,1.721177
YGR110W,0.031968
YNR022C,0.304212
YNL258C,0.066615
YIL152W,0.304635
YDL165W,0.797832
YBR255W,0.025993
YIL033C,0.796748
YDR514C,0.131602
YGL150C,0.020627
YGL194C,0.027897
YOL165C,0.050368
YNL026W,0.169592
YJL005W,0.020010
YPL181W,0.060661
YAL042W,1.907759
YOR067C,0.839956
