Gene,Xobs
YAL003W,4.0726897178
YAL007C,0.092716824
YAL011W,0.0163758488
YAL014C,0.0633409403
YAL015C,0.0633409403
YAL022C,0.0776951559
YAL024C,0.0776951559
YAL048C,0.0191589303
YAL049C,0.4625202365
YAL061W,0.0107740752
YAL067C,0.0054636985
YAR014C,0.0720359668
YAR023C,0.2413248497
YAR028W,0.0268137465
YAR033W,0.0588453909
YAR042W,0.0102321671
YAR066W,0.0012637361
YAR068W,0.0012660949
YBL005WA,0.0051570064
YBL009W,0.756801704
YBL013W,0.0051570064
YBL015W,0.0085515084
YBL021C,0.0062213456
YBL026W,0.0042295238
YBL028C,3.0585623829
YBL029W,0.0046426763
YBL035C,0.0027386654
YBL038W,0.0343891267
YBL041W,0.0062213456
YBL043W,0.0343891267
YBL047C,0.0407328232
YBL051C,0.0036073475
YBL081W,0.0729334533
YBL086C,0.0125995083
YBL093C,0.0026290408
YBL095W,0.012668596
YBL098W,0.2961158492
YBL102W,0.0011045033
YBR002C,0.0446253421
YBR008C,0.0167025421
YBR024W,0.0445679567
YBR025C,8.7292564438
YBR028C,0.0026486354
YBR029C,0.0116153696
YBR034C,0.0009322452
YBR037C,0.0348061126
YBR052C,0.0757644054
YBR058C,0.0472096008
YBR062C,0.0861385971
YBR070C,0.0117227854
YBR072W,0.00283851
YBR074W,0.1512625214
YBR080C,0.0297500221
YBR085W,0.1783180932
YBR088C,0.0472096008
YBR090C,0.2057737665
YBR106W,0.0214550009
YBR111C,0.0182709223
YBR115C,0.3610934695
YBR125C,0.2450472966
YBR135W,0.0286909005
YBR137W,0.0457747183
YBR141C,0.1748411784
YBR146W,0.0754034266
YBR151W,0.005438987
YBR154C,0.0350202982
YBR159W,0.0018076948
YBR164C,0.0182709223
YBR168W,0.0058028923
YBR172C,0.0397715201
YBR177C,0.005786132
YBR191W,3.8706768695
YBR196C,0.0397715201
YBR198C,0.0414812549
YBR200W,0.0249882726
YBR204C,0.0246829729
YBR210W,0.0266865214
YBR225W,0.0060041026
YBR233W,0.0111391479
YBR237W,0.0719600984
YBR242W,0.1353653568
YBR251W,0.018447516
YBR258C,0.035533076
YBR267W,0.0060041026
YBR270C,0.1813724146
YBR275C,0.0212556003
YBR278W,0.0057278838
YBR284W,0.0303764539
YBR285W,0.0887284923
YBR286W,0.0049229487
YBR288C,0.1577912083
YBR289W,0.0795310991
YBR291C,0.0130132265
YBR296C,0.0113931731
YCL010C,0.0248617455
YCL017C,0.0027528074
YCL030C,0.0102823452
YCL033C,0.0302045237
YCL036W,0.0035827445
YCL037C,0.0049229487
YCL045C,0.0523004431
YCL047C,0.0089525317
YCL049C,0.1012951033
YCL051W,0.0024847839
YCL052C,0.1119841359
YCL054W,0.0102823452
YCL061C,0.0968632078
YCL068C,0.2226018467
YCR002C,0.0063802948
YCR003W,0.0403849188
YCR012W,0.0344034983
YCR015C,0.0074794028
YCR023C,0.0357069285
YCR024CA,0.0264541597
YCR026C,0.0523004431
YCR053W,0.1110210654
YCR065W,0.0104288735
YCR073C,0.0032981573
YCR094W,0.0572045647
YCR098C,0.0251435072
YCR104W,0.1000973076
YCR105W,0.0077600624
YDL004W,0.0153223515
YDL007W,0.07327899
YDL018C,0.2614136927
YDL027C,0.0033922049
YDL037C,0.0164894702
YDL051W,0.075314673
YDL073W,0.457807452
YDL074C,0.1072865801
YDL075W,0.1887111424
YDL086W,0.0698768974
YDL098C,0.0331858305
YDL103C,0.0854328872
YDL105W,0.0125089851
YDL112W,0.0284529107
YDL115C,0.0015431532
YDL119C,0.0089530951
YDL120W,0.0151074666
YDL121C,0.0048991827
YDL134C,0.376572463
YDL141W,0.0335409378
YDL143W,0.0119487871
YDL161W,0.0176897453
YDL164C,0.0056535147
YDL170W,0.008578142
YDL178W,0.0142793644
YDL179W,4.8130343516
YDL181W,0.9091344463
YDL184C,0.00545305
YDL203C,0.0240675853
YDL205C,0.0106010203
YDL207W,0.0335409378
